Base ;;;Extremo;;;motores;;;;;;;;;;;;;;;
Base X;Base Y;Base Z;Extremo X;Extremo Y;Extremo Z;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
8,11637E-05;0,000101761;0,000145568;-0,019022741;0,000984118;0,249473261;-800;800;0;0;0;0;800;-800;0;0;-800;800;800;-800;0;0
0,017614735;0,024867973;0,242799782;0,000632948;0,000130658;0,00041472;-800;800;0;0;0;0;800;-800;0;0;-800;800;-800;800;0;0
7,98617E-05;0,000152837;0,000139646;-0,004457541;0,021162486;0,245112852;-800;800;0;0;0;0;800;-800;0;0;-800;800;0;0;800;-800
7,19196E-06;0,000122252;9,84359E-05;0,002809957;0,008173331;0,248614536;-800;800;0;0;0;0;800;-800;0;0;-800;800;0;0;-800;800
0,000417525;-3,49459E-05;0,000423299;-0,034899991;-0,006700232;0,246104552;0;0;800;-800;800;-800;0;0;800;-800;0;0;800;-800;0;0
-1,78178E-05;0,000137369;0,000119441;-0,003436409;0,017107116;0,24340615;0;0;800;-800;800;-800;0;0;800;-800;0;0;-800;800;0;0
0,000293806;7,32684E-05;0,000431292;-0,026031657;0,012427119;0,241370324;0;0;800;-800;800;-800;0;0;800;-800;0;0;0;0;800;-800
0,000103758;2,52789E-05;0,000136506;-0,015538721;-0,000550493;0,245592491;0;0;800;-800;800;-800;0;0;800;-800;0;0;0;0;-800;800
0,000278454;3,25618E-05;0,000431832;-0,030903974;-0,005400292;0,245826048;0;0;800;-800;800;-800;0;0;-800;800;0;0;800;-800;0;0
-0,000137951;0,000178447;7,45622E-05;0,00452689;0,007792992;0,244607414;0;0;800;-800;800;-800;0;0;-800;800;0;0;-800;800;0;0
-8,19126E-06;9,18222E-05;0,000141286;-0,020321948;0,007859115;0,244118219;0;0;800;-800;800;-800;0;0;-800;800;0;0;0;0;800;-800
-2,0207E-05;9,75805E-05;0,000132066;-0,007496994;-0,007549778;0,245982679;0;0;800;-800;800;-800;0;0;-800;800;0;0;0;0;-800;800
0,000553564;-8,59259E-05;0,00069337;-0,042398515;-0,00606971;0,244478986;0;0;800;-800;800;-800;0;0;0;0;800;-800;800;-800;0;0
0,000100366;6,62432E-05;0,000147612;-0,007674958;0,010163732;0,244264886;0;0;800;-800;800;-800;0;0;0;0;800;-800;-800;800;0;0
-0,034356687;0,010073299;0,241887123;0,000990995;-1,08489E-05;0,000729875;0;0;800;-800;800;-800;0;0;0;0;800;-800;0;0;800;-800
8,08123E-05;3,02027E-05;0,000135716;-0,02203338;-0,006259897;0,246400513;0;0;800;-800;800;-800;0;0;0;0;800;-800;0;0;-800;800
5,05025E-05;7,25461E-05;8,64298E-05;-0,024210165;-0,01964445;0,246449526;0;0;800;-800;800;-800;0;0;0;0;-800;800;800;-800;0;0
